type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,group,end_reason,analysis_role,impedance_cycle_no
impedance,2009-04-07 15:59:18,43,B0029,0,1353,01353.csv,,0.0283404555299767,0.0447022577166673,C,censored,comparison,1
impedance,2009-04-08 05:56:52,43,B0029,10,1363,01363.csv,,0.0277999338202675,0.0409783137166372,C,censored,comparison,2
impedance,2009-04-08 09:17:02,43,B0029,12,1365,01365.csv,,0.0281413211997284,0.0395426241816272,C,censored,comparison,3
impedance,2009-04-09 23:31:02,43,B0029,22,1375,01375.csv,,0.0286950455334734,0.040302375166984,C,censored,comparison,4
impedance,2009-04-10 02:48:41,43,B0029,24,1377,01377.csv,,0.0288621768903095,0.0397409356337989,C,censored,comparison,5
impedance,2009-04-11 01:40:51,43,B0029,34,1387,01387.csv,,0.0282293873758797,0.0414436920478558,C,censored,comparison,6
impedance,2009-04-11 04:55:36,43,B0029,36,1389,01389.csv,,0.0282937539623187,0.039916894661314,C,censored,comparison,7
impedance,2009-04-13 22:42:05,43,B0029,46,1399,01399.csv,,0.0286130146153825,0.0415589660967149,C,censored,comparison,8
impedance,2009-04-14 01:55:15,43,B0029,48,1401,01401.csv,,0.0279994846267451,0.0400246219184316,C,censored,comparison,9
impedance,2009-04-14 23:17:53,43,B0029,58,1411,01411.csv,,0.0278705700225645,0.0404256102740876,C,censored,comparison,10
impedance,2009-04-15 02:29:53,43,B0029,60,1413,01413.csv,,0.0281542783809788,0.0403131169157872,C,censored,comparison,11
impedance,2009-04-16 03:38:19,43,B0029,70,1423,01423.csv,,0.0271892849624871,0.0406927954712033,C,censored,comparison,12
impedance,2009-04-16 06:50:32,43,B0029,72,1425,01425.csv,,0.0276450150366069,0.0409514389077648,C,censored,comparison,13
impedance,2009-04-16 22:48:37,43,B0029,82,1435,01435.csv,,0.0270501630154992,0.0408242223325137,C,censored,comparison,14
impedance,2009-04-17 02:02:02,43,B0029,84,1437,01437.csv,,0.0282563620387149,0.0405730242022363,C,censored,comparison,15
impedance,2009-04-17 22:17:27,43,B0029,94,1447,01447.csv,,0.0282771401308053,0.041414871228234,C,censored,comparison,16
impedance,2009-04-18 01:29:13,43,B0029,96,1449,01449.csv,,0.028168909782269,0.041195686040955,C,censored,comparison,17
impedance,2009-04-07 15:59:18,43,B0030,0,2899,02899.csv,,0.0634181796172026,0.0772593935747803,C,censored,comparison,1
impedance,2009-04-08 05:56:52,43,B0030,10,2909,02909.csv,,0.0638928078833113,0.0752140521795627,C,censored,comparison,2
impedance,2009-04-08 09:17:02,43,B0030,12,2911,02911.csv,,0.0642756638388581,0.0740867398175877,C,censored,comparison,3
impedance,2009-04-09 23:31:02,43,B0030,22,2921,02921.csv,,0.0639327466993444,0.0745432796511054,C,censored,comparison,4
impedance,2009-04-10 02:48:41,43,B0030,24,2923,02923.csv,,0.0644534678186044,0.0745526951355338,C,censored,comparison,5
impedance,2009-04-11 01:40:51,43,B0030,34,2933,02933.csv,,0.0640707641375933,0.0748390150933072,C,censored,comparison,6
impedance,2009-04-11 04:55:36,43,B0030,36,2935,02935.csv,,0.0637694177887419,0.0743839228207711,C,censored,comparison,7
impedance,2009-04-13 22:42:05,43,B0030,46,2945,02945.csv,,0.0639508848088192,0.0761038951866042,C,censored,comparison,8
impedance,2009-04-14 01:55:15,43,B0030,48,2947,02947.csv,,0.0652991544909577,0.0751815582235785,C,censored,comparison,9
impedance,2009-04-14 23:17:53,43,B0030,58,2957,02957.csv,,0.0632496741901074,0.0746991665719339,C,censored,comparison,10
impedance,2009-04-15 02:29:53,43,B0030,60,2959,02959.csv,,0.0643292793710963,0.0750267525360047,C,censored,comparison,11
impedance,2009-04-16 03:38:19,43,B0030,70,2969,02969.csv,,0.0639192902067033,0.0750138498126048,C,censored,comparison,12
impedance,2009-04-16 06:50:32,43,B0030,72,2971,02971.csv,,0.0650592507691955,0.0758066987043015,C,censored,comparison,13
impedance,2009-04-16 22:48:37,43,B0030,82,2981,02981.csv,,0.0642870853868887,0.0763428175617886,C,censored,comparison,14
impedance,2009-04-17 02:02:02,43,B0030,84,2983,02983.csv,,0.0646845036378087,0.0757045375839164,C,censored,comparison,15
impedance,2009-04-17 22:17:27,43,B0030,94,2993,02993.csv,,0.0639795849199276,0.075108992129245,C,censored,comparison,16
impedance,2009-04-18 01:29:13,43,B0030,96,2995,02995.csv,,0.0646153915373869,0.0753430402167539,C,censored,comparison,17
impedance,2009-04-07 15:59:18,43,B0031,0,4160,04160.csv,,0.0401245199497282,0.0537630391590788,C,censored,comparison,1
impedance,2009-04-08 05:56:52,43,B0031,10,4170,04170.csv,,0.0408426422047319,0.0530352343862722,C,censored,comparison,2
impedance,2009-04-08 09:17:02,43,B0031,12,4172,04172.csv,,0.0407187291433026,0.0511267959963077,C,censored,comparison,3
impedance,2009-04-09 23:31:02,43,B0031,22,4182,04182.csv,,0.0403515921803274,0.0521895453306811,C,censored,comparison,4
impedance,2009-04-10 02:48:41,43,B0031,24,4184,04184.csv,,0.0406992188064198,0.0506433251487768,C,censored,comparison,5
impedance,2009-04-11 01:40:51,43,B0031,34,4194,04194.csv,,0.040231843280723,0.051542689551802,C,censored,comparison,6
impedance,2009-04-11 04:55:36,43,B0031,36,4196,04196.csv,,0.0405054986733422,0.0506972665386652,C,censored,comparison,7
impedance,2009-04-13 22:42:05,43,B0031,46,4206,04206.csv,,0.0399983798500269,0.0516365032831745,C,censored,comparison,8
impedance,2009-04-14 01:55:15,43,B0031,48,4208,04208.csv,,0.0406114182602961,0.0500869798267196,C,censored,comparison,9
impedance,2009-04-14 23:17:53,43,B0031,58,4218,04218.csv,,0.0397875885519823,0.0521230795031729,C,censored,comparison,10
impedance,2009-04-15 02:29:53,43,B0031,60,4220,04220.csv,,0.0417265396435138,0.0519167957925598,C,censored,comparison,11
impedance,2009-04-16 03:38:19,43,B0031,70,4230,04230.csv,,0.0391432395596955,0.0515892504799375,C,censored,comparison,12
impedance,2009-04-16 06:50:32,43,B0031,72,4232,04232.csv,,0.0407109362186436,0.0509479362355607,C,censored,comparison,13
impedance,2009-04-16 22:48:37,43,B0031,82,4242,04242.csv,,0.039289080646391,0.0511619262526146,C,censored,comparison,14
impedance,2009-04-17 02:02:02,43,B0031,84,4244,04244.csv,,0.0407936340944221,0.0510311327121053,C,censored,comparison,15
impedance,2009-04-17 22:17:27,43,B0031,94,4254,04254.csv,,0.0413067344452935,0.0528912767946792,C,censored,comparison,16
impedance,2009-04-18 01:29:13,43,B0031,96,4256,04256.csv,,0.0407241376746633,0.0506516096826316,C,censored,comparison,17
impedance,2009-04-07 15:59:18,43,B0032,0,1012,01012.csv,,0.0706645161013223,0.0794502575395997,C,censored,comparison,1
impedance,2009-04-08 05:56:52,43,B0032,10,1022,01022.csv,,0.0722915582582326,0.0803215947366876,C,censored,comparison,2
impedance,2009-04-08 09:17:02,43,B0032,12,1024,01024.csv,,0.0697605949327327,0.077037715035224,C,censored,comparison,3
impedance,2009-04-09 23:31:02,43,B0032,22,1034,01034.csv,,0.0730425115747598,0.0813994035225468,C,censored,comparison,4
impedance,2009-04-10 02:48:41,43,B0032,24,1036,01036.csv,,0.0708764987737107,0.0778915805160204,C,censored,comparison,5
impedance,2009-04-11 01:40:51,43,B0032,34,1046,01046.csv,,0.0727807242836465,0.0811149348902292,C,censored,comparison,6
impedance,2009-04-11 04:55:36,43,B0032,36,1048,01048.csv,,0.0707455120034817,0.0783239856398854,C,censored,comparison,7
impedance,2009-04-13 22:42:05,43,B0032,46,1058,01058.csv,,0.0731750018300721,0.0822738123682401,C,censored,comparison,8
impedance,2009-04-14 01:55:15,43,B0032,48,1060,01060.csv,,0.0713326264254028,0.0789786361031034,C,censored,comparison,9
impedance,2009-04-14 23:17:53,43,B0032,58,1070,01070.csv,,0.0739937107703629,0.0830433272138934,C,censored,comparison,10
impedance,2009-04-15 02:29:53,43,B0032,60,1072,01072.csv,,0.0717615198628267,0.079782528012842,C,censored,comparison,11
impedance,2009-04-16 03:38:19,43,B0032,70,1082,01082.csv,,0.0735196875558914,0.0824421668083004,C,censored,comparison,12
impedance,2009-04-16 06:50:32,43,B0032,72,1084,01084.csv,,0.0713737958044209,0.0791164876167491,C,censored,comparison,13
impedance,2009-04-16 22:48:37,43,B0032,82,1094,01094.csv,,0.0732675736197779,0.082761888121376,C,censored,comparison,14
impedance,2009-04-17 02:02:02,43,B0032,84,1096,01096.csv,,0.0721461617558402,0.0800616640229892,C,censored,comparison,15
impedance,2009-04-17 22:17:27,43,B0032,94,1106,01106.csv,,0.0746277661910761,0.0837355494638199,C,censored,comparison,16
impedance,2009-04-18 01:29:13,43,B0032,96,1108,01108.csv,,0.0723329946043698,0.0794358175541861,C,censored,comparison,17
