battery_id,start_time,discharge_cycle_valid,SOH_nominal,Rct_last,impedance_available
B0005,2008-04-02 15:25:41,1.0,92.82,,0
B0005,2008-04-02 19:43:48,2.0,92.32,,0
B0005,2008-04-03 00:01:06,3.0,91.77,,0
B0005,2008-04-03 04:16:37,4.0,91.76,,0
B0005,2008-04-03 08:33:25,5.0,91.73,,0
B0005,2008-04-03 12:55:10,6.0,91.78,,0
B0005,2008-04-03 17:17:16,7.0,91.76,,0
B0005,2008-04-03 21:28:14,8.0,91.29,,0
B0005,2008-04-04 01:38:15,9.0,91.24,,0
B0005,2008-04-04 05:48:08,10.0,91.23,,0
B0005,2008-04-04 09:57:19,11.0,91.23,,0
B0005,2008-04-04 17:56:27,12.0,90.71,,0
B0005,2008-04-04 22:01:54,13.0,90.69,,0
B0005,2008-04-05 02:20:26,14.0,90.67,,0
B0005,2008-04-05 06:25:01,15.0,90.13,,0
B0005,2008-04-05 10:30:32,16.0,90.11,,0
B0005,2008-04-05 14:34:41,17.0,90.13,,0
B0005,2008-04-05 18:39:25,18.0,90.15,,0
B0005,2008-04-05 22:46:35,19.0,90.14,,0
B0005,2008-04-18 21:10:19,20.0,92.35,0.0694562730453699,1
B0005,2008-04-19 02:29:09,21.0,92.37,0.0679720560130687,1
B0005,2008-04-19 07:47:15,22.0,91.81,0.0685283289600032,1
B0005,2008-04-19 13:01:42,23.0,91.29,0.0680444951699617,1
B0005,2008-04-19 18:27:29,24.0,91.26,0.0684502122707276,1
B0005,2008-04-19 23:41:55,25.0,91.28,0.0683410113732366,1
B0005,2008-04-20 04:54:41,26.0,90.7,0.0686823765587221,1
B0005,2008-04-20 10:16:28,27.0,90.74,0.0681437253042456,1
B0005,2008-04-20 15:37:05,28.0,90.7,0.0678255571971684,1
B0005,2008-04-20 20:50:38,29.0,90.14,0.0688580524121343,1
B0005,2008-04-21 02:15:02,30.0,90.2,0.0677943469911627,1
B0005,2008-04-22 15:33:49,31.0,92.59,0.0694040818553967,1
B0005,2008-04-22 20:26:18,32.0,91.54,0.0699377430233672,1
B0005,2008-04-23 01:18:11,33.0,91.0,0.0695041754421432,1
B0005,2008-04-23 06:18:19,34.0,90.47,0.069661211991841,1
B0005,2008-04-23 11:08:00,35.0,90.23,0.0711294674960708,1
B0005,2008-04-23 16:06:25,36.0,89.97,0.0716707961231252,1
B0005,2008-04-23 21:02:58,37.0,89.42,0.0697669618355563,1
B0005,2008-04-24 01:51:33,38.0,89.15,0.0719248993978976,1
B0005,2008-04-24 06:50:00,39.0,88.65,0.0719378705603448,1
B0005,2008-04-24 11:49:24,40.0,88.65,0.0703395836124857,1
B0005,2008-04-24 16:45:56,41.0,88.39,0.0697381270154479,1
B0005,2008-04-24 21:38:11,42.0,88.12,0.0701251142477667,1
B0005,2008-04-25 12:03:44,43.0,88.38,0.0697134641311117,1
B0005,2008-04-25 20:03:55,44.0,88.13,0.0697134641311117,1
B0005,2008-04-26 01:04:35,45.0,87.59,0.073180098911682,1
B0005,2008-04-26 05:57:35,46.0,87.09,0.0716524732655295,1
B0005,2008-04-26 10:58:25,47.0,86.8,0.0724998374901,1
B0005,2008-04-29 12:15:56,48.0,89.68,0.0724998374901,1
B0005,2008-04-29 17:05:27,49.0,89.16,0.0701407541984291,1
B0005,2008-04-29 22:00:04,50.0,88.37,0.0711299384497784,1
B0005,2008-04-30 02:43:55,51.0,87.85,0.0719830276512561,1
B0005,2008-04-30 07:41:42,52.0,87.34,0.0714637439793728,1
B0005,2008-04-30 12:28:49,53.0,87.09,0.0708870426164587,1
B0005,2008-04-30 17:20:16,54.0,86.82,0.0717816850521735,1
B0005,2008-04-30 22:14:54,55.0,86.32,0.0718319241428618,1
B0005,2008-05-01 03:15:33,56.0,85.79,0.0713902715439566,1
B0005,2008-05-01 08:16:03,57.0,85.53,0.0724518691988788,1
B0005,2008-05-01 13:14:24,58.0,85.3,0.073040250995097,1
B0005,2008-05-01 18:11:10,59.0,85.02,0.07251082944035,1
B0005,2008-05-01 23:10:15,60.0,84.73,0.0720176209117095,1
B0005,2008-05-02 03:53:34,61.0,84.25,0.0731699361800272,1
B0005,2008-05-02 08:44:40,62.0,83.72,0.0727712073374357,1
B0005,2008-05-02 13:43:05,63.0,83.73,0.0727086679457494,1
B0005,2008-05-02 19:07:48,64.0,83.19,0.0730104108966134,1
B0005,2008-05-02 23:24:17,65.0,82.95,0.0730104108966134,1
B0005,2008-05-03 04:13:08,66.0,82.69,0.073436503616202,1
B0005,2008-05-03 09:10:19,67.0,82.13,0.0732133898164959,1
B0005,2008-05-03 14:04:34,68.0,81.89,0.074596186052064,1
B0005,2008-05-03 18:58:13,69.0,81.64,0.0745830977634214,1
B0005,2008-05-03 23:42:30,70.0,81.39,0.0736638387977965,1
B0005,2008-05-04 04:41:40,71.0,81.11,0.0737188582159762,1
B0005,2008-05-04 09:40:11,72.0,80.57,0.0746561776087558,1
B0005,2008-05-04 14:38:13,73.0,80.33,0.0735542582193973,1
B0005,2008-05-04 19:37:07,74.0,80.08,0.0746229428074614,1
B0005,2008-05-05 00:35:53,75.0,79.52,0.0736039114233682,1
B0005,2008-05-05 05:28:13,76.0,79.29,0.074642062777058,1
B0005,2008-05-05 11:41:31,77.0,79.25,0.0754771092928152,1
B0005,2008-05-05 20:40:08,78.0,79.78,0.0754771092928152,1
B0005,2008-05-06 01:38:46,79.0,78.74,0.0793440364411719,1
B0005,2008-05-06 06:37:06,80.0,78.25,0.0800235935822896,1
B0005,2008-05-06 11:25:21,81.0,77.99,0.0804500816192199,1
B0005,2008-05-06 16:23:36,82.0,77.97,0.0809952791439065,1
B0005,2008-05-06 21:21:49,83.0,77.73,0.0790061137619081,1
B0005,2008-05-07 02:17:25,84.0,77.44,0.0818149196701257,1
B0005,2008-05-07 07:04:02,85.0,76.91,0.0808669662369406,1
B0005,2008-05-07 12:01:49,86.0,76.4,0.0825010076441602,1
B0005,2008-05-07 16:59:29,87.0,76.43,0.0817505708315127,1
B0005,2008-05-07 21:56:09,88.0,76.13,0.0826941645735358,1
B0005,2008-05-08 02:53:49,89.0,75.87,0.082272625759776,1
B0005,2008-05-09 12:25:07,90.0,80.29,0.0829157329641766,1
B0005,2008-05-09 20:28:09,91.0,78.19,0.0761509211548619,1
B0005,2008-05-10 01:21:56,92.0,77.4,0.0809967398338894,1
B0005,2008-05-10 06:18:12,93.0,76.62,0.080792347724638,1
B0005,2008-05-10 11:16:04,94.0,76.35,0.0816166339541188,1
B0005,2008-05-10 16:11:56,95.0,75.85,0.0820304274361046,1
B0005,2008-05-10 21:07:54,96.0,75.59,0.0843093490529676,1
B0005,2008-05-11 02:05:21,97.0,75.33,0.081280778737871,1
B0005,2008-05-11 06:55:27,98.0,75.08,0.0827621596207595,1
B0005,2008-05-11 11:52:47,99.0,74.54,0.0838933915955351,1
B0005,2008-05-11 16:49:58,100.0,74.29,0.0823356083860003,1
B0005,2008-05-11 21:47:12,101.0,74.02,0.0825995740858869,1
B0005,2008-05-12 02:36:58,102.0,73.76,0.0836176940705274,1
B0005,2008-05-12 12:56:34,103.0,74.3,0.0845362995717969,1
B0005,2008-05-12 18:59:59,104.0,74.8,0.0781662290360033,1
B0005,2008-05-12 23:53:17,105.0,74.04,0.0837734664524804,1
B0005,2008-05-13 04:35:25,106.0,73.49,0.0836115676360818,1
B0005,2008-05-13 09:24:04,107.0,72.7,0.0837056242203838,1
B0005,2008-05-13 14:20:24,108.0,72.71,0.0843513765148262,1
B0005,2008-05-13 19:04:20,109.0,72.75,0.0832805147674182,1
B0005,2008-05-13 23:59:26,110.0,72.45,0.0831904359131708,1
B0005,2008-05-14 04:55:57,111.0,71.93,0.0848701138092932,1
B0005,2008-05-14 09:52:22,112.0,71.67,0.0847391766373357,1
B0005,2008-05-14 14:35:22,113.0,71.67,0.0871172135034907,1
B0005,2008-05-14 19:31:39,114.0,71.4,0.0849090277748801,1
B0005,2008-05-15 00:27:55,115.0,71.15,0.0847995018360561,1
B0005,2008-05-15 05:24:04,116.0,70.87,0.0851877517168028,1
B0005,2008-05-15 10:20:03,117.0,70.62,0.086329382369691,1
B0005,2008-05-15 15:10:59,118.0,70.63,0.0850211189952597,1
B0005,2008-05-15 19:56:47,119.0,70.38,0.0848557762027261,1
B0005,2008-05-16 16:54:59,120.0,71.67,0.0850345675980089,1
B0005,2008-05-16 21:37:39,121.0,71.91,0.0850345675980089,1
B0005,2008-05-17 02:32:13,122.0,70.87,0.0858397688242258,1
B0005,2008-05-17 07:25:19,123.0,70.35,0.0858843611487287,1
B0005,2008-05-17 12:21:15,124.0,70.06,0.0882216113892046,1
B0005,2008-05-17 17:15:37,125.0,69.84,0.0872699062901812,1
B0005,2008-05-17 22:10:51,126.0,69.56,0.0872037829252581,1
B0005,2008-05-18 03:05:19,127.0,69.31,0.0872819262712242,1
B0005,2008-05-18 08:00:50,128.0,69.02,0.0867911180985442,1
B0005,2008-05-18 12:44:48,129.0,68.76,0.0883779260119075,1
B0005,2008-05-18 17:36:29,130.0,68.53,0.0869792218467831,1
B0005,2008-05-18 22:31:45,131.0,68.53,0.088522345692425,1
B0005,2008-05-19 03:27:07,132.0,68.24,0.0892308757094791,1
B0005,2008-05-19 15:34:33,133.0,68.77,0.0883872445764871,1
B0005,2008-05-19 20:59:48,134.0,69.31,0.0883872445764871,1
B0005,2008-05-20 01:16:42,135.0,68.49,0.0883872445764871,1
B0005,2008-05-20 06:12:06,136.0,68.24,0.0815685656842147,1
B0005,2008-05-20 11:07:23,137.0,67.72,0.0827569341149588,1
B0005,2008-05-20 15:57:27,138.0,67.73,0.0822632105400608,1
B0005,2008-05-20 20:50:39,139.0,67.74,0.0802980949053397,1
B0005,2008-05-21 01:39:38,140.0,67.47,0.0819223123309917,1
B0005,2008-05-21 06:24:27,141.0,67.21,0.0817739908657299,1
B0005,2008-05-21 11:18:06,142.0,66.95,0.0832806716843878,1
B0005,2008-05-21 16:10:21,143.0,66.95,0.0829501208969064,1
B0005,2008-05-21 21:02:09,144.0,66.7,0.0819030322921605,1
B0005,2008-05-22 01:42:59,145.0,66.43,0.0829467411842261,1
B0005,2008-05-22 06:32:40,146.0,66.16,0.0823749011789342,1
B0005,2008-05-22 11:23:22,147.0,65.91,0.0844856223082752,1
B0005,2008-05-22 16:17:58,148.0,65.92,0.0830662312193171,1
B0005,2008-05-22 20:59:50,149.0,65.91,0.0833563552790388,1
B0005,2008-05-23 12:13:16,150.0,66.19,0.0883688518598075,1
B0005,2008-05-23 20:14:29,151.0,68.01,0.0807877386784969,1
B0005,2008-05-24 01:09:21,152.0,66.98,0.0849639039583958,1
B0005,2008-05-24 06:00:20,153.0,66.45,0.0872083312129923,1
B0005,2008-05-24 10:42:50,154.0,66.18,0.0877786866945486,1
B0005,2008-05-24 15:31:10,155.0,65.93,0.0884300775522404,1
B0005,2008-05-24 20:21:13,156.0,65.67,0.0858437497371109,1
B0005,2008-05-25 01:06:49,157.0,65.66,0.0866248363959436,1
B0005,2008-05-25 05:57:17,158.0,65.39,0.0863688291866818,1
B0005,2008-05-25 10:51:37,159.0,65.15,0.0882183154162739,1
B0005,2008-05-25 15:37:08,160.0,65.17,0.0887302979407742,1
B0005,2008-05-25 20:23:04,161.0,65.17,0.0875362397797066,1
B0005,2008-05-26 01:13:02,162.0,64.89,0.0885380186023552,1
B0005,2008-05-26 06:01:08,163.0,64.9,0.0889051987685422,1
B0005,2008-05-26 10:44:38,164.0,64.67,0.0847212726764891,1
B0005,2008-05-26 15:30:43,165.0,64.4,0.0857362189277121,1
B0005,2008-05-26 20:21:04,166.0,64.37,0.0874238934793032,1
B0005,2008-05-27 15:52:41,167.0,65.45,0.0897568704647984,1
B0005,2008-05-27 20:45:42,168.0,66.25,0.0897568704647984,1
B0006,2008-04-02 15:25:41,1.0,101.77,,0
B0006,2008-04-02 19:43:48,2.0,101.26,,0
B0006,2008-04-03 00:01:06,3.0,100.67,,0
B0006,2008-04-03 04:16:37,4.0,100.66,,0
B0006,2008-04-03 08:33:25,5.0,100.03,,0
B0006,2008-04-03 12:55:10,6.0,100.69,,0
B0006,2008-04-03 17:17:16,7.0,100.66,,0
B0006,2008-04-03 21:28:14,8.0,98.44,,0
B0006,2008-04-04 01:38:15,9.0,98.41,,0
B0006,2008-04-04 05:48:08,10.0,97.86,,0
B0006,2008-04-04 09:57:19,11.0,97.28,,0
B0006,2008-04-04 17:56:27,12.0,96.74,,0
B0006,2008-04-04 22:01:54,13.0,96.16,,0
B0006,2008-04-05 02:20:26,14.0,95.59,,0
B0006,2008-04-05 06:25:01,15.0,95.05,,0
B0006,2008-04-05 10:30:32,16.0,94.46,,0
B0006,2008-04-05 14:34:41,17.0,93.91,,0
B0006,2008-04-05 18:39:25,18.0,93.38,,0
B0006,2008-04-05 22:46:35,19.0,93.38,,0
B0006,2008-04-18 21:10:19,20.0,98.98,0.0785415394665875,1
B0006,2008-04-19 02:29:09,21.0,97.88,0.0780240937829042,1
B0006,2008-04-19 07:47:15,22.0,97.29,0.078402402030253,1
B0006,2008-04-19 13:01:42,23.0,96.21,0.0780709338220486,1
B0006,2008-04-19 18:27:29,24.0,97.3,0.0779557075787303,1
B0006,2008-04-19 23:41:55,25.0,95.07,0.0793818256613338,1
B0006,2008-04-20 04:54:41,26.0,93.93,0.0794940929426612,1
B0006,2008-04-20 10:16:28,27.0,93.42,0.0787121835729847,1
B0006,2008-04-20 15:37:05,28.0,92.8,0.0798953392291199,1
B0006,2008-04-20 20:50:38,29.0,92.26,0.0797490751361702,1
B0006,2008-04-21 02:15:02,30.0,92.86,0.0801450681587133,1
B0006,2008-04-22 15:33:49,31.0,96.24,0.0816430296477719,1
B0006,2008-04-22 20:26:18,32.0,94.11,0.0802116916237253,1
B0006,2008-04-23 01:18:11,33.0,92.76,0.0812080578761546,1
B0006,2008-04-23 06:18:19,34.0,91.96,0.0815016521658017,1
B0006,2008-04-23 11:08:00,35.0,90.93,0.0813876104403678,1
B0006,2008-04-23 16:06:25,36.0,90.67,0.0816912469233858,1
B0006,2008-04-23 21:02:58,37.0,89.86,0.0813161008134317,1
B0006,2008-04-24 01:51:33,38.0,89.05,0.0812043516055386,1
B0006,2008-04-24 06:50:00,39.0,88.55,0.0834715784465107,1
B0006,2008-04-24 11:49:24,40.0,88.02,0.0838548867166324,1
B0006,2008-04-24 16:45:56,41.0,87.51,0.082015904986437,1
B0006,2008-04-24 21:38:11,42.0,86.97,0.0821657170874893,1
B0006,2008-04-25 12:03:44,43.0,87.73,0.0822751953989806,1
B0006,2008-04-25 20:03:55,44.0,88.3,0.0822751953989806,1
B0006,2008-04-26 01:04:35,45.0,86.69,0.0831917770388853,1
B0006,2008-04-26 05:57:35,46.0,85.67,0.0842684807349334,1
B0006,2008-04-26 10:58:25,47.0,85.12,0.0839721783477321,1
B0006,2008-04-29 12:15:56,48.0,91.19,0.0839721783477321,1
B0006,2008-04-29 17:05:27,49.0,90.41,0.0803422930093306,1
B0006,2008-04-29 22:00:04,50.0,88.79,0.0823636397717541,1
B0006,2008-04-30 02:43:55,51.0,87.24,0.0821410228199839,1
B0006,2008-04-30 07:41:42,52.0,86.46,0.0829695672555505,1
B0006,2008-04-30 12:28:49,53.0,85.41,0.083905581872106,1
B0006,2008-04-30 17:20:16,54.0,84.88,0.0833208029616876,1
B0006,2008-04-30 22:14:54,55.0,84.1,0.0847815533935232,1
B0006,2008-05-01 03:15:33,56.0,83.57,0.0841849219613237,1
B0006,2008-05-01 08:16:03,57.0,83.04,0.0860504140343909,1
B0006,2008-05-01 13:14:24,58.0,82.56,0.0867482199337119,1
B0006,2008-05-01 18:11:10,59.0,82.01,0.087205582998911,1
B0006,2008-05-01 23:10:15,60.0,81.46,0.0871283409737494,1
B0006,2008-05-02 03:53:34,61.0,80.44,0.0875628563316522,1
B0006,2008-05-02 08:44:40,62.0,80.18,0.0882085911331916,1
B0006,2008-05-02 13:43:05,63.0,79.95,0.0883150961530336,1
B0006,2008-05-02 19:07:48,64.0,79.38,0.0885796818139071,1
B0006,2008-05-02 23:24:17,65.0,79.15,0.0885796818139071,1
B0006,2008-05-03 04:13:08,66.0,78.36,0.0895032370200492,1
B0006,2008-05-03 09:10:19,67.0,78.07,0.089810213906633,1
B0006,2008-05-03 14:04:34,68.0,77.56,0.0909328266072082,1
B0006,2008-05-03 18:58:13,69.0,77.03,0.0909751873219429,1
B0006,2008-05-03 23:42:30,70.0,76.27,0.0923241095524087,1
B0006,2008-05-04 04:41:40,71.0,76.51,0.092016689540834,1
B0006,2008-05-04 09:40:11,72.0,76.23,0.0925822548520223,1
B0006,2008-05-04 14:38:13,73.0,75.73,0.0934909607320899,1
B0006,2008-05-04 19:37:07,74.0,75.47,0.0938773051851886,1
B0006,2008-05-05 00:35:53,75.0,75.2,0.0941862300129836,1
B0006,2008-05-05 05:28:13,76.0,74.68,0.093439801192804,1
B0006,2008-05-05 11:41:31,77.0,74.38,0.0956134300233157,1
B0006,2008-05-05 20:40:08,78.0,76.51,0.0956134300233157,1
B0006,2008-05-06 01:38:46,79.0,75.2,0.0950867440401892,1
B0006,2008-05-06 06:37:06,80.0,74.44,0.0954114747516299,1
B0006,2008-05-06 11:25:21,81.0,73.91,0.0958005363424977,1
B0006,2008-05-06 16:23:36,82.0,73.92,0.0953017663720588,1
B0006,2008-05-06 21:21:49,83.0,73.66,0.0945481312063891,1
B0006,2008-05-07 02:17:25,84.0,73.38,0.0955803390819771,1
B0006,2008-05-07 07:04:02,85.0,72.58,0.0963748469082876,1
B0006,2008-05-07 12:01:49,86.0,72.6,0.0969330859249994,1
B0006,2008-05-07 16:59:29,87.0,72.36,0.0968587759009549,1
B0006,2008-05-07 21:56:09,88.0,72.34,0.0966015913982298,1
B0006,2008-05-08 02:53:49,89.0,72.08,0.0974074142043939,1
B0006,2008-05-09 12:25:07,90.0,79.68,0.0961492059978541,1
B0006,2008-05-09 20:28:09,91.0,77.32,0.0904819625026011,1
B0006,2008-05-10 01:21:56,92.0,75.74,0.0930529362512398,1
B0006,2008-05-10 06:18:12,93.0,74.95,0.0936702392745788,1
B0006,2008-05-10 11:16:04,94.0,74.16,0.0944034597636557,1
B0006,2008-05-10 16:11:56,95.0,73.65,0.0950709227361693,1
B0006,2008-05-10 21:07:54,96.0,73.14,0.0954683161052524,1
B0006,2008-05-11 02:05:21,97.0,72.59,0.0967891593710254,1
B0006,2008-05-11 06:55:27,98.0,72.34,0.0973154810605629,1
B0006,2008-05-11 11:52:47,99.0,72.07,0.097423700411414,1
B0006,2008-05-11 16:49:58,100.0,71.56,0.0961826751217128,1
B0006,2008-05-11 21:47:12,101.0,71.3,0.0980060822404009,1
B0006,2008-05-12 02:36:58,102.0,71.02,0.0975442065322093,1
B0006,2008-05-12 12:56:34,103.0,71.04,0.098167563773746,1
B0006,2008-05-12 18:59:59,104.0,72.61,0.0940003961459088,1
B0006,2008-05-12 23:53:17,105.0,71.58,0.0968201170137169,1
B0006,2008-05-13 04:35:25,106.0,70.75,0.0978484060677772,1
B0006,2008-05-13 09:24:04,107.0,70.49,0.0987207477814379,1
B0006,2008-05-13 14:20:24,108.0,70.25,0.098555954977838,1
B0006,2008-05-13 19:04:20,109.0,69.76,0.0979458341330775,1
B0006,2008-05-13 23:59:26,110.0,69.73,0.0979426342024937,1
B0006,2008-05-14 04:55:57,111.0,69.47,0.0978280397199374,1
B0006,2008-05-14 09:52:22,112.0,69.19,0.100297485432866,1
B0006,2008-05-14 14:35:22,113.0,68.68,0.1002855268895236,1
B0006,2008-05-14 19:31:39,114.0,68.93,0.1003482635430065,1
B0006,2008-05-15 00:27:55,115.0,68.69,0.0990365839748105,1
B0006,2008-05-15 05:24:04,116.0,68.41,0.1006790823074739,1
B0006,2008-05-15 10:20:03,117.0,68.17,0.1003809603504959,1
B0006,2008-05-15 15:10:59,118.0,67.9,0.1003434135011964,1
B0006,2008-05-15 19:56:47,119.0,67.66,0.0986748779007716,1
B0006,2008-05-16 16:54:59,120.0,69.21,0.0998851845039756,1
B0006,2008-05-16 21:37:39,121.0,70.26,0.0998851845039756,1
B0006,2008-05-17 02:32:13,122.0,68.94,0.100329706643873,1
B0006,2008-05-17 07:25:19,123.0,68.41,0.1011607325689791,1
B0006,2008-05-17 12:21:15,124.0,67.87,0.1014589241819508,1
B0006,2008-05-17 17:15:37,125.0,67.62,0.100603352458913,1
B0006,2008-05-17 22:10:51,126.0,67.37,0.1025451876366216,1
B0006,2008-05-18 03:05:19,127.0,66.85,0.1013873791642721,1
B0006,2008-05-18 08:00:50,128.0,66.56,0.1014317733775896,1
B0006,2008-05-18 12:44:48,129.0,66.3,0.1028088756204259,1
B0006,2008-05-18 17:36:29,130.0,66.08,0.1020749534936402,1
B0006,2008-05-18 22:31:45,131.0,66.06,0.1024320211016061,1
B0006,2008-05-19 03:27:07,132.0,65.78,0.10259630569279,1
B0006,2008-05-19 15:34:33,133.0,66.05,0.1030180047578761,1
B0006,2008-05-19 20:59:48,134.0,67.37,0.1030180047578761,1
B0006,2008-05-20 01:16:42,135.0,66.3,0.1030180047578761,1
B0006,2008-05-20 06:12:06,136.0,65.51,0.102092852503947,1
B0006,2008-05-20 11:07:23,137.0,65.26,0.1012304992482019,1
B0006,2008-05-20 15:57:27,138.0,65.02,0.1017004816081313,1
B0006,2008-05-20 20:50:39,139.0,65.01,0.1019511695754428,1
B0006,2008-05-21 01:39:38,140.0,64.48,0.1033905552179119,1
B0006,2008-05-21 06:24:27,141.0,63.96,0.1019022250061564,1
B0006,2008-05-21 11:18:06,142.0,63.96,0.1021279987143925,1
B0006,2008-05-21 16:10:21,143.0,63.7,0.1023480972991154,1
B0006,2008-05-21 21:02:09,144.0,63.71,0.103165304469953,1
B0006,2008-05-22 01:42:59,145.0,63.19,0.1017155778229261,1
B0006,2008-05-22 06:32:40,146.0,62.91,0.1039905059221312,1
B0006,2008-05-22 11:23:22,147.0,62.66,0.1027814179991246,1
B0006,2008-05-22 16:17:58,148.0,62.66,0.1041063706998522,1
B0006,2008-05-22 20:59:50,149.0,62.4,0.1049438515440013,1
B0006,2008-05-23 12:13:16,150.0,62.67,0.1064712631533319,1
B0006,2008-05-23 20:14:29,151.0,64.49,0.0976349035137695,1
B0006,2008-05-24 01:09:21,152.0,63.18,0.1013128184675522,1
